n0,column,k_full,k_raw_full,mean_error,verdict
25.0,k_ip,0.8064741153365349,0.8064741153365349,0.020230900062711513,pass
25.0,w_ip,0.4037715865767858,0.4037715865767858,0.0007333327581718644,pass
25.0,er_ip,0.28761768387849707,0.28761768387849707,0.01735463279897242,pass
25.0,bb_ip,0.582763626100937,0.582763626100937,0.009738470889661203,pass
25.0,h_ip,0.3190033072244399,0.3190033072244399,0.022454407816196762,pass
25.0,ip,0.6313529710505257,0.6313529710505257,3001.4206021862897,pass
50.0,k_ip,0.9697197681125754,0.9697197681125754,0.020178889017239795,fallback:k=1
50.0,w_ip,0.4909143739032933,0.4909143739032933,0.0007344472228344182,pass
50.0,er_ip,0.3426171053805603,0.3426171053805603,0.01737817136664264,pass
50.0,bb_ip,0.6971042773195445,0.6971042773195445,0.009762709561327293,pass
50.0,h_ip,0.38500582893901353,0.38500582893901353,0.022456928730282006,pass
50.0,ip,0.6313529710505257,0.6313529710505257,3001.4206021862897,pass
100.0,k_ip,1.0,1.2757578617025576,0.02062441376634076,fallback:k=1
100.0,w_ip,0.6522354760973768,0.6522354760973768,0.0007365449197189949,pass
100.0,er_ip,0.4436430623529623,0.4436430623529623,0.017417997195236967,pass
100.0,bb_ip,0.9092461504342438,0.9092461504342438,0.009809068281753966,pass
100.0,h_ip,0.5080525869589375,0.5080525869589375,0.022472565104469242,pass
100.0,ip,0.6313529710505257,0.6313529710505257,3001.4206021862897,pass
