n0,column,k_full,k_raw_full,mean_error,verdict
100.0,hr_pa,0.40654020239863964,0.40654020239863964,0.0001331248672770996,pass
100.0,r_pa,0.4372205116341239,0.4372205116341239,0.0005063429796305035,pass
100.0,rbi_pa,0.4387902634304261,0.4387902634304261,0.0007650745326950303,pass
100.0,sb_pa,0.5349528934891308,0.5349528934891308,0.00016743627202213962,pass
100.0,h_ab,0.3477964052449176,0.3477964052449176,0.0008177687001304138,pass
100.0,ab_pa,0.574455094415098,0.574455094415098,0.0004947134695462242,pass
100.0,pa,0.6461223724660885,0.6461223724660885,36519.40679679876,fallback:k=1
200.0,hr_pa,0.49439664472177763,0.49439664472177763,0.0001327583230583349,pass
200.0,r_pa,0.5308893856873483,0.5308893856873483,0.0005053628740048132,pass
200.0,rbi_pa,0.5316293478146665,0.5316293478146665,0.0007634367231773762,pass
200.0,sb_pa,0.6365171256448175,0.6365171256448175,0.0001674153790811822,pass
200.0,h_ab,0.42836689129727146,0.42836689129727146,0.0008159386159370071,pass
200.0,ab_pa,0.6865967898098806,0.6865967898098806,0.0004937575420563554,pass
200.0,pa,0.6461223724660885,0.6461223724660885,36519.40679679876,fallback:k=1
400.0,hr_pa,0.6554766862446463,0.6554766862446463,0.0001325010372791641,pass
400.0,r_pa,0.7007467716437429,0.7007467716437429,0.0005052527561927946,pass
400.0,rbi_pa,0.700828918363908,0.700828918363908,0.0007627894883029731,pass
400.0,sb_pa,0.824054973674603,0.824054973674603,0.00016768753415518536,pass
400.0,h_ab,0.5739987747111427,0.5739987747111427,0.0008148069346634438,pass
400.0,ab_pa,0.8947989534993785,0.8947989534993785,0.0004936385015274626,pass
400.0,pa,0.6461223724660885,0.6461223724660885,36519.40679679876,fallback:k=1
